Checkpoint ID,Checkpoint Name,Pass Criteria,Reviewer Status,Notes
CP0,Scene setup and naming,All collections and object names follow manifest exactly. No stray nucleus objects outside hierarchy.,,
CP1,Whole organelle cohesion,Nucleus sits in cytoplasm with clear socket and ER contact side; whole cell context reads in 3D.,,
CP2,Double nuclear envelope,"Outer membrane, inner membrane, perinuclear lumen, and cutaway rims are all visible.",,
CP3,Envelope panelization,Outer/inner/lumen segments are separate and can split for mitosis without gaps/overlap errors.,,
CP4,NPC biological readability,"NPCs are protein complexes with rings, lobes, gates, filaments/baskets on hero pores.",,
CP5,Lamina support,Gold lamina lies beneath inner membrane and anchors peripheral chromatin.,,
CP6,Internal volume,"Nucleoplasm is transparent, textured, and does not obscure chromatin/nucleolus.",,
CP7,Genome system,Interphase chromatin and condensed chromosomes are separate states; DNA never exits the nucleus.,,
CP8,Nucleolus,"Nucleolus is non-membrane, bumpy, subregioned, and able to fade/reform in mitosis.",,
CP9,Transport,Protein import and RNA/ribosomal export use NPC paths in opposite directions.,,
CP10,ER continuity,Outer membrane visibly connects to rough ER and perinuclear lumen continuity is shown.,,
CP11,Mitosis animation,"Breakdown and reassembly can be understood using panels, fragments, chromosomes, and target sockets.",,
CP12,Roblox export readiness,"Meshes are separate, origins sensible, surfaces thick enough, triangle budget recorded, materials portable.",,
CP13,Final 3D quality,"Model has high-quality depth, texture, shadows, bevels, and readable stylized realism.",,
